Nº NF-e/RPS,Série,Status,Data Emissão,Natureza da Operação,Dados do Destinatário,CPF/CNPJ,Valor Total,Chave DANFE
115,1,Emitida,13/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"15,5",28180110177060000138650010000001151860625610
116,1,Emitida,13/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"58,84",28180110177060000138650010000001161271614173
117,1,Emitida,13/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"49,9",28180110177060000138650010000001171197437541
118,1,Emitida,13/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"61,19",28180110177060000138650010000001181632642465
119,1,Emitida,13/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"71,74",28180110177060000138650010000001191831579493
120,1,Emitida,13/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"73,09",28180110177060000138650010000001201529952609
121,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"9,5",28180110177060000138650010000001211939643077
122,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"116,01",28180110177060000138650010000001221413056504
123,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"165,6",28180110177060000138650010000001231120387750
124,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"103,8",28180110177060000138650010000001241502317235
125,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"99,64",28180110177060000138650010000001251966539730
126,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"134,4",28180110177060000138650010000001261431867860
127,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"72,6",28180110177060000138650010000001271100334730
128,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,55,28180110177060000138650010000001281534653949
129,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"77,83",28180110177060000138650010000001291991255994
130,1,Emitida,15/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"112,78",28180110177060000138650010000001301619522553
131,1,Emitida,16/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"54,5",28180110177060000138650010000001311912256028
132,1,Emitida,16/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,100,28180110177060000138650010000001321440020643
133,1,Emitida,16/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"61,84",28180110177060000138650010000001331030265350
134,1,Emitida,16/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"35,88",28180110177060000138650010000001341599477166
135,1,Emitida,16/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"148,07",28180110177060000138650010000001351931075008
136,1,Emitida,16/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"208,29",28180110177060000138650010000001361466909698
137,1,Emitida,16/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"107,67",28180110177060000138650010000001371002622347
138,1,Emitida,17/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"175,76",28180110177060000138650010000001381562132350
139,1,Emitida,17/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"244,35",28180110177060000138650010000001391901594502
140,1,Emitida,17/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"77,5",28180110177060000138650010000001401817539467
141,1,Emitida,17/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"28,8",28180110177060000138650010000001411649846393
142,1,Emitida,17/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"73,1",28180110177060000138650010000001421247869736
143,1,Emitida,18/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"201,93",28180110177060000138650010000001431282877232
144,1,Emitida,18/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"113,01",28180110177060000138650010000001441838445975
145,1,Emitida,18/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"132,6",28180110177060000138650010000001451631644674
146,1,Emitida,18/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"128,4",28180110177060000138650010000001461222070415
147,1,Emitida,18/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"135,09",28180110177060000138650010000001471311853811
148,1,Emitida,18/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"180,14",28180110177060000138650010000001481871331842
149,1,Emitida,19/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"109,29",28180110177060000138650010000001491656788156
150,1,Emitida,19/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,147,28180110177060000138650010000001501782564459
151,1,Emitida,19/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"117,57",28180110177060000138650010000001511747492258
152,1,Emitida,19/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"176,66",28180110177060000138650010000001521150646844
153,1,Emitida,19/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"101,16",28180110177060000138650010000001531318404750
154,1,Emitida,19/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"111,25",28180110177060000138650010000001541811548664
155,1,Emitida,20/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"106,4",28180110177060000138650010000001551721700545
156,1,Emitida,20/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"165,64",28180110177060000138650010000001561132437510
157,1,Emitida,20/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"61,8",28180110177060000138650010000001571339303634
158,1,Emitida,20/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"45,19",28180110177060000138650010000001581773655658
159,1,Emitida,20/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"84,31",28180110177060000138650010000001591691793787
160,1,Emitida,20/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"61,5",28180110177060000138650010000001601888598540
161,1,Emitida,22/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"152,71",28180110177060000138650010000001611580258300
162,1,Emitida,22/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"49,25",28180110177060000138650010000001621053420388
163,1,Emitida,22/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"101,75",28180110177060000138650010000001631478782334
164,1,Emitida,22/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"119,55",28180110177060000138650010000001641892793377
165,1,Emitida,22/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"197,54",28180110177060000138650010000001651576802180
166,1,Emitida,22/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"112,43",28180110177060000138650010000001661042381903
167,1,Emitida,22/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"93,61",28180110177060000138650010000001671491062470
168,1,Emitida,22/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"113,93",28180110177060000138650010000001681926235532
169,1,Emitida,22/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,81,28180110177060000138650010000001691602380020
170,1,Emitida,23/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"157,22",28180110177060000138650010000001701977924759
171,1,Emitida,23/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"153,84",28180110177060000138650010000001711552627521
172,1,Emitida,23/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"77,72",28180110177060000138650010000001721080628250
173,1,Emitida,24/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"171,24",28180110177060000138650010000001731388903678
174,1,Emitida,24/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"1105,06",28180110177060000138650010000001741990197287
175,1,Emitida,24/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"106,24",28180110177060000138650010000001751541581419
176,1,Emitida,24/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"72,7",28180110177060000138650010000001761077179767
177,1,Emitida,24/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"120,26",28180110177060000138650010000001771393106119
178,1,Emitida,24/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"73,75",28180110177060000138650010000001781953957914
179,1,Emitida,25/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"76,41",28180110177060000138650010000001791512962514
180,1,Emitida,25/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"139,8",28180110177060000138650010000001801488628223
181,1,Emitida,25/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"115,5",28180110177060000138650010000001811039922881
182,1,Emitida,25/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"91,22",28180110177060000138650010000001821574310753
183,1,Emitida,25/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"76,85",28180110177060000138650010000001831890391498
184,1,Emitida,25/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"51,54",28180110177060000138650010000001841477247290
185,1,Emitida,26/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"151,2",28180110177060000138650010000001851052043461
186,1,Emitida,26/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"56,9",28180110177060000138650010000001861578909950
187,1,Emitida,26/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"119,54",28180110177060000138650010000001871887034913
188,1,Emitida,26/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"181,76",28180110177060000138650010000001881452225739
189,1,Emitida,26/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"208,4",28180110177060000138650010000001891019035659
190,1,Emitida,26/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"86,25",28180110177060000138650010000001901390769020
191,1,Emitida,26/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"42,78",28180110177060000138650010000001911074623581
192,1,Emitida,27/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"179,17",28180110177060000138650010000001921539057601
193,1,Emitida,27/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,108,28180110177060000138650010000001931987827785
194,1,Emitida,27/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"81,9",28180110177060000138650010000001941387404821
195,1,Emitida,27/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"71,54",28180110177060000138650010000001951079215146
196,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"136,45",28180110177060000138650010000001961551185826
197,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"76,6",28180110177060000138650010000001971976454477
198,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"136,99",28180110177060000138650010000001981417433505
199,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"151,09",28180110177060000138650010000001991116986219
200,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"120,58",28180110177060000138650010000002001716498480
201,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"67,21",28180110177060000138650010000002011751625996
202,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"55,5",28180110177060000138650010000002021349887369
203,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"162,31",28180110177060000138650010000002031182070469
204,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"124,38",28180110177060000138650010000002041689845667
205,1,Emitida,29/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"63,49",28180110177060000138650010000002051779505234
206,1,Emitida,30/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"127,03",28180110177060000138650010000002061369696525
207,1,Emitida,30/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"118,6",28180110177060000138650010000002071163015252
208,1,Emitida,30/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"81,15",28180110177060000138650010000002081723654562
209,1,Emitida,30/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"247,24",28180110177060000138650010000002091805693674
210,1,Emitida,30/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"74,6",28180110177060000138650010000002101681700500
211,1,Emitida,30/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"82,04",28180110177060000138650010000002111849582230
212,1,Emitida,31/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"160,17",28180110177060000138650010000002121252483570
213,1,Emitida,31/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"62,35",28180110177060000138650010000002131217291349
214,1,Emitida,31/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"106,05",28180110177060000138650010000002141662637679
215,1,Emitida,31/01/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"121,04",28180110177060000138650010000002151869383789
216,1,Emitida,01/02/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"157,22",28180210177060000138650010000002161280370426
217,1,Emitida,01/02/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"121,65",28180210177060000138650010000002171190646152
218,1,Emitida,01/02/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"81,06",28180210177060000138650010000002181625789625
219,1,Emitida,01/02/2018,Venda dentro do estado,Ao Consumidor,00000000000000,18,28180210177060000138650010000002191840400050
220,1,Emitida,01/02/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"100,93",28180210177060000138650010000002201521195395
221,1,Emitida,01/02/2018,Venda dentro do estado,Ao Consumidor,00000000000000,"97,42",28180210177060000138650010000002211946433510
